,법정동,인구수,택배함 개수,물류창고 개수,전기차 등록 수,충전기 개수,전기차한대당충전소개수
389,서울특별시 영등포구 양평동1가,4965,0,0,0,0,0.0
390,서울특별시 영등포구 양평동2가,7145,0,0,48,0,0.0
391,서울특별시 영등포구 양평동3가,12077,0,1,0,0,0.0
392,서울특별시 영등포구 양평동4가,6677,0,1,0,0,0.0
393,서울특별시 영등포구 양평동5가,5923,0,1,0,2,0.0
394,서울특별시 영등포구 양평동6가,3963,0,0,88,0,0.0
395,서울특별시 영등포구 신길동,104273,5,0,198,16,0.08080808080808081
396,서울특별시 영등포구 대림동,47812,2,0,111,7,0.06306306306306306
397,서울특별시 동작구 노량진동,31538,1,1,22,0,0.0
398,서울특별시 동작구 상도동,114653,6,0,257,9,0.03501945525291829
399,서울특별시 동작구 상도1동,9647,0,0,0,0,0.0
400,서울특별시 동작구 본동,10863,2,0,78,0,0.0
401,서울특별시 동작구 흑석동,29211,0,0,72,4,0.05555555555555555
402,서울특별시 동작구 동작동,5560,0,0,61,2,0.03278688524590164
403,서울특별시 동작구 사당동,97424,4,0,153,8,0.05228758169934641
404,서울특별시 동작구 대방동,35941,0,0,59,17,0.288135593220339
405,서울특별시 동작구 신대방동,45548,1,0,124,0,0.0
406,서울특별시 관악구 봉천동,224184,6,0,439,13,0.029612756264236904
407,서울특별시 관악구 신림동,245562,9,0,444,15,0.033783783783783786
408,서울특별시 관악구 남현동,17895,1,0,24,0,0.0
409,서울특별시 서초구 방배동,96378,2,0,291,23,0.07903780068728522
410,서울특별시 서초구 양재동,35850,0,2,0,6,0.0
411,서울특별시 서초구 우면동,27569,1,0,990,20,0.020202020202020204
412,서울특별시 서초구 원지동,258,2,0,225,0,0.0
413,서울특별시 서초구 잠원동,49996,0,0,131,2,0.015267175572519083
414,서울특별시 서초구 반포동,68780,2,0,451,14,0.031042128603104215
415,서울특별시 서초구 서초동,108370,0,1,1460,35,0.023972602739726026
